"","Independence Day","The Patriot","The Day After Tomorrow","Pirates of the Caribbean: The Curse of the Black Pearl","Pretty Woman","Forrest Gump","The Green Mile","Con Air","Twister","Sweet Home Alabama","Pearl Harbor","Armageddon","The Rock","What Women Want","Bruce Almighty","Oceans Eleven","The Bourne Identity","The Italian Job","I Robot","American Beauty","How to Lose a Guy in 10 Days","Lethal Weapon 4","Shrek 2","Lost in Translation","Top Gun","Pulp Fiction","Gone in 60 Seconds","The Sixth Sense","Lord of the Rings: The Two Towers","Men of Honor","Gladiator","Lord of the Rings: The Fellowship of the Ring","Sister Act","Double Jeopardy","Two Weeks Notice","Troy","The Royal Tenenbaums","National Treasure","50 First Dates","Indiana Jones and the Last Crusade","My Big Fat Greek Wedding","Mystic River","Titanic","Dirty Dancing","Catch Me If You Can","Finding Nemo (Widescreen)","The Matrix","Kill Bill: Vol. 1","The Wedding Planner","The Shawshank Redemption Special Edition","The Last Samurai","John Q","Swordfish","The Bourne Supremacy","The Terminal","Men in Black II","Spider-Man 2","Braveheart","Men in Black","Ghost","Air Force One","Lord of the Rings: The Return of the King","Man on Fire","The Incredibles","Mr Deeds","Collateral","Spider-Man","Saving Private Ryan","Erin Brockovich","Monsters Inc.","Shrek (Full-screen)","The Silence of the Lambs","Memento","Tomb Raider","Ferris Buellers Day Off","Maid in Manhattan","Entrapment","Meet the Parents","Dodgeball A True Underdog Story","Rain Man","Patch Adams","Big Fish","Fight Club","S.W.A.T.","Good Will Hunting","A Few Good Men","Enemy of the State","The Generals Daughter","Minority Report","Somethings Gotta Give","Raiders of the Lost Ark","Anger Management","Sideways","Kill Bill: Vol. 2","American Pie","The Fast and the Furious","The School of Rock","Napoleon Dynamite","The Notebook"
"841",4,4,5,4,3,4,5,3,4,3,4,4,5,4,3,3.96,3,3,4,4,3.125,3,5,3,3.96,4,4,4,5,3,5,5,4,4,3.125,4.16666666666667,4,4,3,4,3.125,4,4.07692307692308,3.125,4,5,5,4,3,5,4,4,4,4,4,3,4,4,4.16666666666667,4.07692307692308,3.75,5,4,5,3,4,4,4,4.07692307692308,5,5,5,3,4,4,3,3,4,3,5,4.07692307692308,3,3.96,3,4,4.07692307692308,3.96,3,3.96,3,4,4,5,4,5,4,5,5,3
"842",5,4,4,5,5,4,4,4,5,2,5,4,4,3,3,3,2,4,4,3,3,4.03703703703704,4.33333333333333,3,5,4,4,5,5,3,5,5,2.66666666666667,3,4,4.5,3,5,4,4.5,4,3,5,5,3,5,3,3,5,5,5,3,3,3,4.21428571428571,3,5,4,4,4,3,5,4,4.33333333333333,2,5,5,3,5,3,5,5,3,4.5,2.66666666666667,3,3,3,2.66666666666667,5,5,4.21428571428571,4.03703703703704,4,4,5,4,4,5,3.72727272727273,4.5,2,4.21428571428571,4.03703703703704,3,4,2.66666666666667,2.66666666666667,4.21428571428571
"843",5,5,5,5,4,3,5,4,3,4,5,5,4,5,5,4,5,5,5,3,4,4.18518518518519,5,3.90909090909091,5,4.18518518518519,4,5,4,4,5,4,4,4,3,5,3.44444444444444,5,4,4,4,3,5,4,4,4,4,3,4,4,4,3.42857142857143,2,4,3.91666666666667,2,5,5,3,4,3,4,4.18518518518519,3,2,4,4,4,3.91666666666667,4,4,3.42857142857143,2,3,3,2,5,5,4,3.91666666666667,3,3.91666666666667,2,3,3,3.91666666666667,4,4,4,5,4,1,3.91666666666667,3,5,4,3.44444444444444,2,5
"844",4,2,4,4,5,5,5,3,5,4,4,4,3,4,3,5,4,3,4,5,3,4,4,3,4,5,3,5,5,4.53333333333333,5,5,4,4,3,4,4,4,4,4,5,4.53333333333333,5,4,5,5,5,4,3,5,3,5,3,4,4,3,5,5,4,4,2,5,3.89655172413793,5,5,5,5,5,4,5,5,5,5,2,5,3,5,5,4.22222222222222,5,4.53333333333333,4,5,3,5,4,3,3,3,3.72727272727273,5,4.22222222222222,4,4,5,3,3,4,4
"845",4,4,3,5,5,5,4,3,2,4,3,3,4,2,3,5,5,4,3,5,3,4,3,3,4,4,3,4,5,4,5,5,3,4,3,4,3,3,3,4,4,5,4,5,3,5,5,4,3,5,5,5,5,4,3,3,3,5,4,4,3,5,3.75862068965517,3,4,4,4,5,5,5,5,5,4,3,5,3,3,5,3,5,2,3,3,3,4,5,3,3,3,3,4,4,3,4,4,3,4,1,4.17647058823529
"846",4,5,3,4,4,5,5,3,4,4,3,3,4,3,4,4,4,3,4,4,4,4,5,2,3,4,3,5,5,4,5,5,4,4,4,3,2,3,4,5,4,4,3,4,5,4.75,5,2,3,5,4,4,4,4,3,3,5,5,5,4,3,5,4,5,3,4,3,5,4,5,4,4,4,3,4,3,3.875,3,3,4,2,3,3,3,3.88235294117647,4,5,4,4,4,5,2,3,2,3,3,3,2,4
"847",4,3,4,4,4,5,5,2,4,2,3,3,4,2,5,4,3.64,4,3,4.18181818181818,3,2,5,4,4,5,2,5,4,3,5,5,4.16666666666667,4,3.11111111111111,3,3,4,4,5,5,5,4.18181818181818,2,4,5,5,4,2,5,2,2,2,3.64,4,2,4,5,4,4.18181818181818,4,4,3.64,5,4.16666666666667,3.375,4,3.64,4.18181818181818,5,5,5,4,4,4,3.11111111111111,3,5,4,4,1,4.18181818181818,5,3,5,4.18181818181818,3,3,4,3.11111111111111,5,4.16666666666667,4,4,4.16666666666667,3.64,4.16666666666667,4,4.18181818181818
"848",4,4,4,5,4,4,5,4,4,4,3,5,4,4,3,3,4,3,4,3,3,4,5,3,4,2,3,5,3.54545454545455,4,4,3,5,4,4,3,2,4,4,4,4,4,5,4,3,5,5,3.78260869565217,4,4,2,4,2,3.78260869565217,5,3,3.54545454545455,4,4,4,5,3.54545454545455,3.78260869565217,4.5,3,2,2,4,3,4,4,4,3.5,4,4,4,4,4,4,5,3,4,3.78260869565217,3.78260869565217,4,4,4,3,4,4,4,2,4,3.78260869565217,3.2,3.78260869565217,4,1,3
"849",4,4,3,4,4,5,5,5,3,4,4,4,3,3,3,3,5,4,4,5,5,4,5,3.88888888888889,5,3,4,5,5,4,5,5,4,3,4,4,2,4,3.88888888888889,5,4,5,5,4,5,4,4,4.07692307692308,3,5,5,5,4,5,4,4,5,5,4,4,4,5,5,5,3.66666666666667,5,4,5,4,5,4,5,3,4,5,3.88888888888889,3,4,4,5,4,4,4.07692307692308,3,5,4,3,3,4,4,5,3.66666666666667,4,4.07692307692308,4,4.07692307692308,4,3,5
"850",4,4,5,5,3,3,5,5,5,5,5,4,5,4,3,5,5,4,5,3.8125,5,4,5,4,5,3,5,4,5,5,5,5,5,4,4,4,1,4,4,4,2,3,4,3,4.61538461538461,5,4,1,5,5,4.42857142857143,3,3.875,5,2,4,5,2,5,4,5,5,4,5,5,3,5,4,3,5,5,5,1,5,4,5,5,4,5,4,5,2,5,5,5,5,5,5,4,4,4,3,3.8125,4.42857142857143,4,5,2,1,4
"851",5,4,5,4,3,5,5,5,5,4,4,5,5,4,4,4,4,4,5,4,3,4,3,3.4,4,5,5,5,4,4,5,4,4,3,4,5,1,5,3.4,5,2,4,4,3,4,4,4,4,4,5,4.41379310344828,4,4,4,4,4,4,5,5,3,4,4,4,5,4,4,4,5,3,4,4,4,3.875,4,4,4,4,4,4,4.25,4,4,3,5,4,5,4,4,3,3,4,2,4.25,4,5,5,4,2,5
"852",3,5,5,5,5,5,5,3,3,2,5,4,5,5,3,5,4,4,4,5,4,4,5,5,4,5,3,5,5,5,5,5,3,5,3,5,3.77777777777778,4.54545454545455,5,5,5,5,4.86666666666667,5,5,5,5,1,5,5,3,5,5,4,4,4,4.54545454545455,5,5,4,4,5,3,5,2,4,4.54545454545455,5,5,5,5,5,5,1,5,2,2,3.77777777777778,5,5,5,5,5,3,5,5,5,4.375,5,4.18181818181818,5,2,4.86666666666667,4,5,1,4,5,4.86666666666667
"853",3,3,3,3,3,4,3,2,3,3,3,3,3,2,3,3,3,2.96153846153846,4,2,3,3,3,3,4,2,2.96153846153846,2,3,3,5,4,2.16666666666667,3,3,2,2,4,3,4,3,3,5,3,3,3,3,2.96153846153846,3,3,3,2.83333333333333,3,3,3,3,3.16666666666667,3,3,3,4,3,4,3,3,2.83333333333333,3,3,3,3,3,1,2.83333333333333,3,1,3,3,2,2.16666666666667,3,2,3,2,2,3,3,4,3,3,4,3.16666666666667,2,2,2.96153846153846,2.16666666666667,1,2.16666666666667,2.16666666666667,3
"854",4,5,4,5,4,5,5,4,4,4,4,3,4,3,3,4,3,4,5,3,3,4,4,1,4,5,4,4,5,4,5,5,4,3,2,4,3.44444444444444,4,4,5,4,5,4,3.1,4,3.66666666666667,4,4,3.1,5,5,4,3,4,4,4,4,5,4,4.11764705882353,4,5,4,3.66666666666667,3.44444444444444,5,5,5,4,3,4,4,4,4,4,2,4,4,3,5,3,2,4,4,4,4,5,4,4,4,5,3,3,5,4,4.20689655172414,4,2,5
"855",5,5,5,5,5,5,5,5,5,4,5,4,5,3,3,4,4.59090909090909,4,4.59090909090909,4.69230769230769,4,4.59090909090909,5,4.25,5,4.59090909090909,4,5,4.8,5,5,4.8,3.57142857142857,4,4.25,4.8,3,4.8,5,5,4.25,4,5,4.25,5,5,4.59090909090909,4,4,5,5,4,3,4.59090909090909,4.69230769230769,4.8,4.8,5,4,4,5,4.8,5,5,3,3.625,4.8,5,4.69230769230769,5,5,4,2,4.8,4,4,3,4,3.57142857142857,4,4,5,4.59090909090909,4,5,5,4.59090909090909,4,4,5,5,3.57142857142857,4.69230769230769,4,4,4,4,3.57142857142857,4.69230769230769
"856",5,5,3,4,4,5,4,4,3,3,5,5,4,3,4,5,3,5,3,4.33333333333333,4,5,4,5,5,4.36,5,4,4.18181818181818,4,5,5,3,4,3,5,4.16666666666667,4,5,5,4,4.33333333333333,5,5,3,4.66666666666667,5,4.36,4,5,5,4,4,4,4.33333333333333,3,3,5,4,5,5,4.18181818181818,5,5,5,4,4.18181818181818,5,3,5,4.66666666666667,4,4,5,4.16666666666667,4,4,5,4.16666666666667,4.33333333333333,3,4.33333333333333,5,2,4.33333333333333,4.33333333333333,4.36,3,4.36,4,5,4.16666666666667,4.33333333333333,4.36,4.16666666666667,4,3,5,4.33333333333333
"857",5,3,3,4,2,5,3,4,2,4,1,4,5,4,2,5,5,4,4,4,2.85714285714286,2,4,4,5,5,3,4,5,1,5,5,3,2,2.85714285714286,4,5,3,2.85714285714286,5,3,5,2,2.85714285714286,4,4,5,4,2,5,5,3,3,5,3.73333333333333,4,5,5,4,1,3,5,5,4,2,5,4,5,3,4,4,5,4,2,4,1,3,4,4,5,3.73333333333333,3,4,4,5,4,3,3,4,2.85714285714286,5,3,5,4,5,3,2,5,3.73333333333333
"858",4,4,4,4,4,5,5,3,4,4,4,5,4,4,4,4,5,4,4,5,4,3,4,3,4,4,4,3,5,3,5,5,3,4,3,4,3.7,4,4,5,3,4,4,2,4,4,5,3,3,5,4,3,3,4,4,3,4,5,3,3,4,5,4,4,4,4,4,5,4,5,4,4,4,3,4,4,4,5,4,4,4,4,5,3,4,4,3,4,4,4,5,3,4,3,4,3,4,2,4
"859",5,4,4,5,4,4,5,5,3,5,5,5,4,3,3.5,5,4,4.38888888888889,4.38888888888889,4.4,4.25,4.38888888888889,4.43243243243243,4.25,5,4,5,5,5,4,4.38888888888889,5,3.5,4,4.25,5,3.5,5,4.25,5,4.25,4.4,4.4,4.25,5,4.43243243243243,4.38888888888889,4.38888888888889,5,4.4,4,5,4.66666666666667,4.38888888888889,4.4,5,5,4,5,5,4.66666666666667,5,4.38888888888889,4.43243243243243,4,5,5,5,4.4,4.43243243243243,4.43243243243243,4.66666666666667,4.66666666666667,5,3,4.25,4.66666666666667,3.5,3.5,4.4,4.4,4.4,4.38888888888889,4,4.4,4.4,4.38888888888889,4.66666666666667,4.38888888888889,4.25,5,3.5,4.4,4.38888888888889,3.5,3,3.5,3.5,4.4
"860",4,3,3,5,3,5,2,3,4,3,4,5,4,2,1,2,5,3,5,2,3,3.80952380952381,5,2,4,1,3.80952380952381,4,5,3.21428571428571,5,5,2,3.33333333333333,4,5,1.75,3,2,4,2.90909090909091,2,4,3,3,5,5,3.80952380952381,4,4,3.80952380952381,3.33333333333333,3.33333333333333,4,3.21428571428571,3,5,4,3,3,3,5,3.80952380952381,5,1,3.33333333333333,4,5,3,5,5,3,3.33333333333333,4,1.75,2,4,4,2,3,1,3.21428571428571,4,3.80952380952381,5,5,3.80952380952381,3.33333333333333,3,4,5,1,3.21428571428571,3.80952380952381,1,3.80952380952381,1.75,2,2
"861",5,2,4,5,5,4,4,2,4,4,1,2,2,5,5,2,3,3.15,3.15,4.2,4,5,3.60344827586207,3.22222222222222,5,3.15,3,4,5,3,4,4.57142857142857,1,4,3.22222222222222,4.57142857142857,3.5,5,2,4.57142857142857,3.22222222222222,4.2,5,4,4.57142857142857,3.60344827586207,3.15,3.15,1,4.2,4,3,4,3.15,4.2,5,4.57142857142857,5,4.57142857142857,5,3,5,4,3.60344827586207,2,3.66666666666667,5,3.15,5,3.60344827586207,3.60344827586207,3.66666666666667,3.66666666666667,2,5,2,3,4,3.5,4.2,2,4.2,1,2,4.2,5,3.15,5,3.15,2,4.57142857142857,3.5,4.2,4,4,3.15,3.5,3.5,4
"862",3,3,1,5,3,4,3,3,3,1,1,3,3,4,2,4,3,4,3,4,1,4,3.66666666666667,4,4,4,3,5,4,4,5,4,4,2,2,3.72727272727273,5,3.72727272727273,3,4,4,4,3,4,3,4,3,4,2,5,3,2,2,2,4,3,3.72727272727273,5,4,3,3.14285714285714,4,3.20689655172414,3,2,3.14285714285714,3,3,4,4,3.66666666666667,5,5,2,4,3,3,3,4,4,2,2,4,2,5,5,4,3,3,5,5,3,5,4,5,2,4,4,3.88235294117647
"863",3,5,3,5,3,5,5,4,4,4,4,5,5,4,3,4,5,3,5,4.26666666666667,4,4,5,5,4,4.21428571428571,4,5,5,5,5,5,4,4,4,5,3.75,4.58333333333333,5,5,3,4,3,4,3,5,5,4,4,4,5,5,4,4,5,3,5,5,4.58333333333333,4.26666666666667,4,5,4,5,4,4,5,5,4.26666666666667,4,5,4,4,4,4,4,4,4,3.75,4,5,4,4.21428571428571,4,4,5,5,4,3,4,5,3,1,4,3.75,3,4,4,5
"864",5,4,4,5,3,5,5,5,4,2,5,5,5,5,5,5,3,5,4,4,3,5,5,3.63636363636364,4,5,5,5,5,5,5,5,3.77777777777778,3,5,3,1,4.23076923076923,5,5,4,5,5,3,5,5,5,5,4,5,5,5,4,5,4.5,4,5,5,4,4,5,5,5,5,3,5,3,3,5,5,5,5,5,1,5,1,4,5,4,4,4.5,1,5,3,5,5,5,4,5,5,5,4,4.5,1,4,4,3,3.77777777777778,4.5
"865",4,5,3,5,5,5,5,4,4,5,5,3,3,5,3.66666666666667,4.39130434782609,4.39130434782609,5,5,2,5,5,4.20967741935484,4.375,5,3,5,4.39130434782609,4.33333333333333,5,5,5,3,4,4,4.33333333333333,3.66666666666667,4.33333333333333,4.375,4.33333333333333,5,4.46153846153846,5,3,4.33333333333333,4.20967741935484,5,4.39130434782609,3,5,4.39130434782609,5,3,5,3,4,4.33333333333333,4.46153846153846,4.33333333333333,5,3.16666666666667,5,5,4.20967741935484,3,3.16666666666667,3,4.39130434782609,5,4.20967741935484,4.20967741935484,3.16666666666667,1,4,3,4.375,3,5,3.66666666666667,4.46153846153846,5,3,3,5,5,4.46153846153846,5,3,4,4.375,4.33333333333333,3.66666666666667,4.46153846153846,4.39130434782609,5,5,3,3.66666666666667,5
"866",3,3,3,5,2,4,3,2,2,1,2,3,2,2,3.4,2.85,3,2.85,3,3.33333333333333,2.33333333333333,2,1.5,5,2.85,4,2,2,2.83333333333333,2,4,2.83333333333333,1,2,2.33333333333333,1,5,2.83333333333333,2.33333333333333,4,2.33333333333333,3.33333333333333,3.33333333333333,2.33333333333333,3,2,2.85,2.85,2,3.33333333333333,2.85,1,2,4,3.33333333333333,2,2.83333333333333,3,2.83333333333333,3.33333333333333,2,2.83333333333333,2.85,1,3.4,3,2,3,3.33333333333333,1.5,1.5,2,2,2.83333333333333,5,2,2,4,2,3.33333333333333,3.33333333333333,4,3,2,3.33333333333333,3.33333333333333,2.85,2,5,2.33333333333333,2.83333333333333,3.4,4,2.85,3.4,2.85,3.4,3.4,3.33333333333333
"867",4,5,3,3,5,4,1,5,5,4,3,4,1,4,4,2,4,3,3.52631578947368,3,5,4,4.5,4.33333333333333,3.52631578947368,3,4,3.52631578947368,2,3,3.52631578947368,3.33333333333333,4,4,4,3.33333333333333,4,3,5,3.33333333333333,4.33333333333333,4,3,4.33333333333333,3.33333333333333,5,3.52631578947368,3.52631578947368,4,3.27272727272727,3.52631578947368,4,3,3.52631578947368,3,4,3.33333333333333,3.27272727272727,3.33333333333333,4,3.4,3.33333333333333,3.52631578947368,4.5,4,3.4,5,3.52631578947368,5,4,4.5,3.4,3.4,3,4,5,3,4,4,3.27272727272727,3.27272727272727,3.27272727272727,5,4,3.27272727272727,1,1,3,3,3,3.33333333333333,4,3.27272727272727,3.52631578947368,4,4,4,4,5
"868",5,4,3,5,5,5,5,4,4,3,4,4,4,5,3,3,4,3,3,4,4,4,5,2,5,3,2,5,5,3,5,5,4,4,3,4,1,4,4,4,5,4,5,5,4,5,5,3,2,5,5,4,4,4,3,4,2,5,5,5,5,5,4,5,1,3,3,4,4,5,5,5,4,2,4,3,4,4,2,4,3,4,4,3,5,5,4,4,4,5,4,2,4,3,2,1,3,2,5
"869",5,5,4,4,4,5,4,4,3,5,4,4,5,3,4,2,3,3,5,3,3,5,5,2,3,2,2,4,4,4,5,4,5,4,4,3,4,4,4,4,4,2,3,3.63636363636364,3,4,5,4,3,3.61538461538462,2,3.85714285714286,4,4,4,4,5,4,5,5,5,4.07692307692308,4,4,4,4,5,5,3.61538461538462,5,4,3,3.85714285714286,4,4,4,4,3,4,3.61538461538462,3.61538461538462,3,3.79310344827586,4,3,3,4,3,4,4,4,4,3.61538461538462,3,4,3,4,4,4
"870",5,5,5,5,4,5,5,3,3,3,2,3,5,5,4,3,4.18181818181818,4.18181818181818,5,5,5,4,5,4.14285714285714,4,5,4,4.18181818181818,3,5,5,4,3,4,4,4,4,5,5,5,4.14285714285714,4.45454545454545,4.45454545454545,3,4,5,5,4.18181818181818,4.14285714285714,5,5,5,5,4.18181818181818,4.45454545454545,3,4,5,3,3,3,4,4.18181818181818,5,3,4.28571428571429,4,5,4.45454545454545,5,5,5,5,3,5,4.14285714285714,3,4,4.125,5,3,3,5,4.18181818181818,5,4.45454545454545,5,4.28571428571429,3,4.14285714285714,5,5,4.45454545454545,4.18181818181818,5,3,4.125,4.125,4.45454545454545
"871",4,4,4,5,4,5,4,4,3,3,4,5,5,4,4,4,4,4,4,4,4,3,5,4,4,4.06896551724138,4,4,5,4,5,5,3.66666666666667,4.28571428571429,3.5,5,1,4.72727272727273,4,5,2,4,4,3.5,4,4,5,4,3,5,4,4,4,5,4,4,4.72727272727273,5,4.72727272727273,4,4.28571428571429,5,4,4.5,3.66666666666667,4,4,4,4.38461538461539,4,5,5,5,5,4,3,4,4,3,4.38461538461539,5,4,4,4,4.38461538461539,5,4,4,3,4,5,4,4.38461538461539,4,5,4,5,3,4.38461538461539
"872",4,4,3,5,4,4,5,3,3,3,3,3,4,4,3,3,4,3,3,2,4,3,4,4,3,4,4,4,4,3,4,4,3,4,5,4,1,4,4,4,5,3,4,3,4,4,4,4,3,4,5,4,3,3,3,4,4,4,4,4,4,4,4,3,2.85714285714286,3,4,5,4,2,4,5,3.875,3,3,3.90909090909091,4,4,2.85714285714286,5,3,3,3.62068965517241,4,4,3,4,4,4,4,4,3,3,4,3,2,2.85714285714286,2.85714285714286,5
"873",4,4,5,5,4,5,4,4,4,5,5,5,4,4,5,5,3,4,5,3,5,4,5,4.45454545454545,4,3,4,4,5,4,5,5,2,5,3,4.5,4.11111111111111,4.5,5,4,4,4.33333333333333,5,5,5,5,5,3,5,5,4,5,4,5,4.33333333333333,3,5,4,3,5,4,5,5,4.75,4,5,5,5,4,4,5,4.375,4,4,4,4,4,5,4,5,3,4.33333333333333,4.2962962962963,4,4.33333333333333,5,4.2962962962963,4,5,5,5,4,4.33333333333333,4.2962962962963,4,4,5,4.11111111111111,4.33333333333333
"874",3,5,4,3,3,2,4,2,3,2,3,3,3,3,5,4,3,2,3,3,3,3,5,1,4,1,5,3,5,3,2,5,3,3,3,4,1,4,3,3,3,2,3,3,3,4,5,4,4,5,2,5,2,3,3.4,3,4,3,4,2,3,5,3,5,3,3,3,4,4,2,3,5,2,2,4,3,3,4,4,5,3,4,2,1,3,5,2,2,2,3,3,5,3.4,4,3,2,3,5,3.4
"875",4,4,3,3,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3.72727272727273,4,2,4,5,5,5,5,4,4,5,3,4.16666666666667,2,4.16666666666667,4,5,3,4.26666666666667,5,4,4,5,4,3.92592592592593,4,5,5,4,3.85714285714286,5,5,2,5,5,4,4,4,5,3.92592592592593,5,3,3,4,5,4,4,4,4,3.85714285714286,4,4,2,3,2,3,4,3,3,2,4,4,4,3,4,4,4,5,2,4.26666666666667,3.92592592592593,3,4,3,3,4.26666666666667
"876",5,3,3,5,3,3,4,4,3,2,4,5,3,3,4,3,3,3,3,5,3.16666666666667,3.46428571428571,3,4,3,4,3,3,4,3.83333333333333,5,4,3.71428571428571,3.33333333333333,3.16666666666667,5,5,3.92307692307692,3.16666666666667,5,3,4,4,3.16666666666667,3,3.66666666666667,3,3,3.16666666666667,5,3,3,3.33333333333333,3,4,3,4,4,5,2,3,3,5,5,3.71428571428571,4,3,5,3,3,3.66666666666667,3,4,3,3,3.16666666666667,3.33333333333333,3,3.71428571428571,4,3.83333333333333,3.83333333333333,3,3.46428571428571,4,3.83333333333333,3,3,3,4,4,3,3.83333333333333,5,3.71428571428571,1,5,3,3.83333333333333
"877",5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4.73076923076923,5,5,5,5,5,5,5,5,5,5,5,4.55555555555556,5,5,3,5,4.75,4,5,5,5,5,4.73076923076923,5,5,5,3,4,4.73076923076923,5,3,4.45454545454545,5,4.45454545454545,5,5,5,5,5,5,4.42857142857143,4,4,4,5,5,5,4.42857142857143,4,5,5,5,5,4,5,5,4,5,4,5,5,5,4,4,5,4.45454545454545,5,4.75,4.73076923076923,5,4,4.55555555555556,2,5
"878",5,5,4,5,4,5,5,5,5,4,5,4,5,3,5,5,5,5,5,4,5,5,5,3,5,4,5,5,5,4.26666666666667,5,5,4,4,4,5,4.55555555555556,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,4,5,4,5,5,5,5,4.26666666666667,4,5,4,5,4.55555555555556,4,5,5,3,5,5,5,4,5,5,4,3,5,4,4,3,4.26666666666667,4,4,4,5,4.79310344827586,4,5,4,5,4,2,5,5,5,5,4,5
"879",4,3,3,4,4,5,5,4,3,3,3,4,4,4,3,5,3,3,4,5,3,3,2,4,3.71428571428571,5,3,5,5,3,4,5,3,3.71428571428571,3,3,2.875,4,3,4,3,4,4,4,3,3,5,4,1,5,4,3,4,3,4,2,4,5,3,4,3.71428571428571,5,4,3,2.875,3,4,5,4,4,3,5,4,2,4,1,4,2,2.875,5,4,4,4,3,5,4,3.71428571428571,3,4,3,4,3,5,3,3,2,3,2,4
"880",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,5
"881",4,5,4,1,3,4,4,3,4,5,5,4,5,5,3,3,4,3,4,3.8,5,3.88888888888889,5,4.22222222222222,5,3.88888888888889,5,5,3,4,5,3,3.42857142857143,3,5,5,3.42857142857143,4,5,3.22222222222222,2,4,5,4.22222222222222,3,4,4,1,3,3.8,3,5,4,4,4,3,3.22222222222222,3.8,3,3.8,3.375,4,5,3,3,3,3.22222222222222,3,4,3,5,3,2,3.22222222222222,3.42857142857143,4.22222222222222,4,5,2,3.8,3.8,2,3.88888888888889,5,3.8,3.8,3,3,3,5,3.22222222222222,5,2,1,3,5,3,3.42857142857143,5
"882",5,5,4,5,5,5,5,5,5,3,5,4,4,5,3,4,5,4,4,4,4,4,4.24705882352941,4,5,5,4,5,5,5,5,5,3,3,4,4.58333333333333,3.8,4,3,5,3.9,4,5,3.9,4,4.24705882352941,4,3,4,5,4,5,5,4,3,4,4,5,4.58333333333333,4,5,5,4,4.24705882352941,3,4,4,5,4,4.24705882352941,4.24705882352941,5,4.25,5,5,3,2,4,3,4.4,4.4,4.4,4,4,5,5,4,5,4,4,5,4,4,4,5,3,4,4,3
"883",5,5,5,5,5,4,5,4,4,3,3,5,4,5,3,4,4,3,4,4.14285714285714,4,5,5,2,5,4.03571428571429,4,5,5,4,5,5,4,4,3.88888888888889,4,4.4,5,5,4,3,4,4,5,3,5,3,4,3,4.14285714285714,4,4,4.14285714285714,4,4,4,5,5,5,4,5,5,3,5,4,4,4,5,4,5,5,5,4.14285714285714,3,4,3.88888888888889,3,5,5,4,4.14285714285714,4,2,4,4.14285714285714,4,3,4,4,3.88888888888889,5,4,3,4.03571428571429,5,3,5,5,5
"884",3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,3,3,3,4,1,3.92307692307692,3,4,3,3,3,3,4,4,3,3,3,4,3,4,3,4,3,4,5,4,4,3.53333333333333,3,4,4,4,3,3,5,3,3,4,4,4,3.25,2,4,3,3,4,4,4,3,3.53333333333333,3,3,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3.53333333333333
"885",5,3,5,4,5,5,5,5,5,4,4,5,5,4,4,3,4,3,5,4,4,4,5,3,5,4.10714285714286,4,3,5,4,4,4,5,5,4,4,3.375,4.08333333333333,4,4,4,3,4,5,3,5,3,4,3,4,4,5,4,4,5,4,4,4,4,5,5,5,4,5,3,3,4,4,4,4,5,4,4.25,4,4,4,4,2,3,3,4,3,4.10714285714286,4,3,5,5,4,4,4,4.08333333333333,2,2,3,3.375,4,4,3.375,5
"886",4,5,3,4,4,5,4,4,3,4,4,3,4,4,3,3,4,4,4,5,4,4,4,3.90909090909091,4,2,4,5,5,4,4,5,3,4,4,5,3,3,3,4,4,3,3,5,2,5,4,1,4,5,3,5,3,4,3,2,4,5,2,5,3,5,3,5,3,2,4,3,5,4,4,5,3.375,4,3,3,3,4,3,4,3,1,2,4,3,4,3,2,4,4,4,3,3.88235294117647,1,3,4,2,3,4
"887",5,5,4,5,4,4,4,5,4,5,4,4,4,5,3,3,4,4,4,2,3,4,5,1,5,4,3,5,5,5,5,5,3,4,3,3,3.3,5,4,4,3,3,5,3.5,4,5,4,4,3,5,4,4,4,4,4,4,3,5,4,5,3,5,4,4,4,2,5,5,3,4,5,5,4,3,3,3.5,4,4,3,3,3.88235294117647,3,2,3,3,4,3,3,4,4,4,3,3,4,4,3,3,3,5
"888",5,5,4,5,4,5,5,3,3,4,4,5,4,5,5,4,4.19047619047619,4.19047619047619,5,4,4.33333333333333,4,5,4.33333333333333,5,4.19047619047619,3,5,5,3,5,5,5,4.4,4.33333333333333,5,4.1,5,5,5,4.33333333333333,4,5,4,5,5,4.19047619047619,4,4.33333333333333,5,4.19047619047619,5,4.4,4.19047619047619,4.5,5,5,5,5,4,4,5,5,5,3,4,5,5,5,5,5,5,4.4,5,5,4.33333333333333,4.4,5,4,5,4,3,4.19047619047619,4.19047619047619,5,5,3,4,4,4,5,2,4.5,4.19047619047619,4,3,3,5,5
